Ticker,Date
UNH,01/19/2016
UNH,10/15/2015
UNH,07/16/2015
UNH,01/21/2015
UNH,10/16/2014
DIS,02/04/2021
DIS,11/12/2020
DIS,08/04/2020
DIS,05/05/2020
DIS,02/04/2020
DIS,11/07/2019
DIS,08/06/2019
DIS,05/08/2019
DIS,02/05/2019
DIS,11/08/2018
DIS,08/07/2018
DIS,05/08/2018
DIS,02/06/2018
DIS,11/09/2017
DIS,08/08/2017
DIS,05/09/2017
DIS,02/07/2017
DIS,11/10/2016
DIS,08/09/2016
DIS,05/10/2016
DIS,02/09/2016
DIS,11/05/2015
DIS,08/04/2015
DIS,05/05/2015
DIS,02/03/2015
CMCSA,01/22/2021
CMCSA,10/29/2020
CMCSA,07/30/2020
CMCSA,04/30/2020
CMCSA,01/23/2020
CMCSA,10/24/2019
CMCSA,07/25/2019
CMCSA,04/25/2019
CMCSA,01/23/2019
CMCSA,10/25/2018
CMCSA,07/26/2018
CMCSA,04/25/2018
CMCSA,01/24/2018
CMCSA,10/26/2017
CMCSA,07/27/2017
CMCSA,04/27/2017
CMCSA,01/26/2017
CMCSA,10/26/2016
CMCSA,07/27/2016
CMCSA,04/27/2016
CMCSA,02/03/2016
CMCSA,10/27/2015
CMCSA,07/23/2015
CMCSA,05/04/2015
CMCSA,02/24/2015
T,01/29/2021
T,10/22/2020 07:00 EDT
T,07/23/2020 07:00 EDT
T,04/22/2020 07:00 EDT
T,01/29/2020 07:30 EST
T,10/23/2019 07:00 EDT
T,07/24/2019
T,04/24/2019
T,01/30/2019
T,10/24/2018
T,07/24/2018
T,04/25/2018
T,01/31/2018
T,10/24/2017
T,07/25/2017
T,04/25/2017
T,01/25/2017
T,10/25/2016
T,07/21/2016
T,04/26/2016
T,01/26/2016
T,10/22/2015
T,07/23/2015
T,04/22/2015
T,01/27/2015
ZM,11/30/2020
ZM,08/31/2020
ZM,06/02/2020
ZM,03/04/2020
ZM,12/05/2019
ZM,09/05/2019
ZM,06/06/2019
VZ,01/29/2021
VZ,10/21/2020
VZ,07/24/2020
VZ,04/24/2020 07:30 EDT
VZ,01/30/2020
VZ,10/25/2019 07:00 EDT
VZ,08/01/2019
VZ,04/23/2019
VZ,01/29/2019
VZ,10/23/2018
VZ,07/24/2018
VZ,04/24/2018
VZ,01/23/2018
VZ,10/19/2017
VZ,07/27/2017 08:30 EDT
VZ,04/20/2017
VZ,01/24/2017
VZ,10/20/2016
VZ,07/26/2016
VZ,04/21/2016
VZ,01/21/2016
VZ,10/20/2015
VZ,07/21/2015
VZ,04/21/2015
VZ,01/22/2015
ABT,01/22/2021
ABT,10/21/2020
ABT,07/16/2020
ABT,04/16/2020
ABT,01/22/2020
ABT,10/16/2019
ABT,07/17/2019
ABT,04/17/2019
ABT,01/23/2019
ABT,10/17/2018
ABT,07/18/2018
ABT,04/18/2018
ABT,01/24/2018
ABT,10/18/2017
ABT,07/20/2017
ABT,04/19/2017
ABT,01/25/2017
ABT,10/19/2016
ABT,07/20/2016
ABT,04/20/2016
ABT,01/28/2016
ABT,10/21/2015
ABT,07/22/2015
ABT,04/22/2015
ABT,01/29/2015
ORCL,12/11/2020
ORCL,09/10/2020
ORCL,06/16/2020
ORCL,03/12/2020
ORCL,12/12/2019
ORCL,09/11/2019
ORCL,06/19/2019
ORCL,03/14/2019
ORCL,12/17/2018
ORCL,09/17/2018
ORCL,06/19/2018
ORCL,03/19/2018
ORCL,12/14/2017
ORCL,09/14/2017
ORCL,06/21/2017
ORCL,03/15/2017
ORCL,12/15/2016
ORCL,09/15/2016
ORCL,06/16/2016
ORCL,03/15/2016
ORCL,12/16/2015
ORCL,09/16/2015
ORCL,06/17/2015
ORCL,12/17/2014
ORCL,09/18/2014
PG,01/22/2021
PG,10/20/2020
PG,07/30/2020
PG,04/21/2020
PG,01/23/2020
PG,10/22/2019
PG,07/30/2019
PG,04/23/2019
PG,01/23/2019
PG,10/19/2018
PG,07/31/2018
PG,04/20/2018
PG,01/23/2018
PG,10/20/2017
PG,07/27/2017
PG,04/26/2017
PG,01/20/2017
PG,10/25/2016
PG,08/02/2016
PG,04/26/2016
PG,01/26/2016
PG,10/23/2015
PG,07/30/2015
PG,04/23/2015
PG,01/27/2015
JPM,01/15/2021
JPM,10/13/2020
JPM,07/14/2020
JPM,04/14/2020 07:30 EDT
JPM,01/14/2020 07:00 EST
JPM,10/15/2019
JPM,07/16/2019
JPM,04/12/2019
JPM,01/15/2019
JPM,10/12/2018
JPM,07/13/2018
JPM,04/13/2018
JPM,01/12/2018
JPM,10/12/2017
JPM,07/14/2017
JPM,04/13/2017
JPM,01/13/2017
JPM,10/14/2016
JPM,07/14/2016
JPM,04/13/2016
JPM,01/14/2016
JPM,10/13/2015
JPM,07/14/2015
JPM,04/14/2015
JPM,01/14/2015
GS,01/15/2021
GS,10/14/2020
GS,07/15/2020
GS,04/15/2020
GS,01/15/2020 07:30 EST
GS,10/15/2019
GS,07/16/2019
GS,04/15/2019
GS,01/16/2019
GS,10/16/2018
GS,07/17/2018
GS,04/17/2018
GS,01/17/2018
GS,10/17/2017
GS,07/18/2017
GS,04/18/2017
GS,01/18/2017
GS,10/18/2016
GS,07/19/2016
GS,04/19/2016
GS,01/20/2016
GS,10/15/2015
GS,07/16/2015
GS,04/16/2015
GS,01/16/2015
BAC,01/19/2021 06:45 EST
BAC,10/14/2020 06:45 EDT
BAC,07/16/2020 06:45 EDT
BAC,04/15/2020 06:45 EDT
BAC,01/15/2020
BAC,10/16/2019 06:45 EDT
BAC,07/17/2019
BAC,04/16/2019
BAC,01/16/2019
BAC,10/15/2018
BAC,07/16/2018
BAC,04/16/2018
BAC,01/17/2018
BAC,10/13/2017
BAC,07/18/2017
BAC,04/18/2017
BAC,01/13/2017
BAC,10/17/2016
BAC,07/18/2016
BAC,04/14/2016
BAC,01/19/2016
BAC,10/14/2015
BAC,07/15/2015
BAC,04/15/2015
BAC,02/26/2015
C,01/14/2021
C,10/13/2020 08:00 EDT
C,07/14/2020 08:00 EDT
C,04/15/2020 08:00 EDT
C,01/14/2020
C,10/15/2019 08:00 EDT
C,07/15/2019
C,04/15/2019
C,01/14/2019
C,10/12/2018
C,07/13/2018
C,04/13/2018
C,01/16/2018
C,10/12/2017
C,07/14/2017
C,04/13/2017
C,01/18/2017
C,10/14/2016
C,07/15/2016
C,04/15/2016
C,01/15/2016
C,10/15/2015
C,07/16/2015
C,04/16/2015
C,01/15/2015
WFC,01/15/2021
WFC,10/14/2020
WFC,07/14/2020
WFC,04/14/2020 08:00 EDT
WFC,01/14/2020 08:00 EST
WFC,10/15/2019 08:00 EDT
WFC,07/16/2019
WFC,04/12/2019
WFC,01/15/2019
WFC,10/12/2018
WFC,07/13/2018
WFC,04/13/2018
WFC,01/12/2018
WFC,10/13/2017
WFC,07/14/2017
WFC,04/13/2017
WFC,01/13/2017
WFC,10/14/2016
WFC,07/15/2016
WFC,04/14/2016
WFC,01/15/2016
WFC,10/14/2015
WFC,07/14/2015
WFC,04/14/2015
WFC,01/14/2015
UPS,01/29/2021
UPS,10/28/2020 06:00 EDT
UPS,07/30/2020 06:00 EDT
UPS,04/28/2020 07:00 EDT
UPS,01/30/2020 07:00 EST
UPS,10/22/2019
UPS,07/25/2019
UPS,04/25/2019
UPS,01/31/2019
UPS,10/24/2018
UPS,07/25/2018
UPS,04/26/2018
UPS,02/01/2018
UPS,10/26/2017
UPS,07/27/2017
UPS,04/27/2017
UPS,01/31/2017
UPS,10/27/2016
UPS,07/29/2016
UPS,04/28/2016
UPS,02/02/2016
UPS,10/27/2015
UPS,07/28/2015
UPS,04/28/2015
UPS,02/03/2015
BMY,02/05/2021
BMY,11/05/2020
BMY,08/06/2020
BMY,05/07/2020
BMY,02/06/2020
BMY,10/31/2019
BMY,07/25/2019
BMY,04/25/2019
BMY,01/24/2019
BMY,10/25/2018
BMY,07/26/2018
BMY,04/26/2018
BMY,02/05/2018
BMY,10/26/2017
BMY,07/27/2017
BMY,04/27/2017
BMY,01/26/2017
BMY,10/27/2016
BMY,07/28/2016
BMY,04/28/2016
BMY,01/28/2016
BMY,10/27/2015
BMY,07/23/2015
BMY,04/28/2015
BMY,01/27/2015
MDT,11/24/2020
MDT,08/25/2020 05:45 CDT
MDT,05/21/2020
MDT,02/18/2020
MDT,11/19/2019
MDT,08/20/2019
MDT,05/23/2019
MDT,02/19/2019
MDT,11/20/2018
MDT,08/21/2018
MDT,05/24/2018
MDT,02/20/2018
MDT,11/28/2017
MDT,08/22/2017
MDT,05/25/2017
MDT,02/21/2017
MDT,11/22/2016
MDT,08/25/2016
MDT,05/31/2016
MDT,03/01/2016
MDT,12/03/2015
MDT,09/03/2015
MDT,06/02/2015
MDT,02/17/2015
MDT,11/18/2014
NEE,01/22/2021
NEE,10/21/2020
NEE,07/24/2020
NEE,04/22/2020
NEE,01/24/2020
NEE,10/22/2019
NEE,07/24/2019
NEE,04/23/2019
NEE,01/25/2019
NEE,10/23/2018
NEE,07/25/2018
NEE,04/24/2018
NEE,01/26/2018
NEE,10/26/2017
NEE,07/26/2017
NEE,04/21/2017
NEE,01/27/2017
NEE,10/31/2016
NEE,07/27/2016
NEE,04/28/2016
NEE,01/28/2016
NEE,10/28/2015
NEE,08/03/2015
NEE,04/29/2015
NEE,01/27/2015
MCD,01/29/2021
MCD,11/09/2020
MCD,07/28/2020
MCD,04/30/2020
MCD,01/29/2020
MCD,10/22/2019
MCD,07/26/2019
MCD,04/30/2019
MCD,01/30/2019
MCD,10/23/2018
MCD,07/26/2018
MCD,04/30/2018
MCD,01/30/2018
MCD,10/24/2017
MCD,07/25/2017
MCD,04/25/2017
MCD,01/23/2017
MCD,10/21/2016
MCD,07/26/2016
MCD,04/22/2016
MCD,01/25/2016
MCD,10/22/2015
MCD,07/23/2015
MCD,04/22/2015
MCD,01/23/2015
DHR,01/29/2021
DHR,10/22/2020
DHR,07/23/2020
DHR,05/07/2020
DHR,01/30/2020
DHR,10/24/2019
DHR,07/18/2019
DHR,04/18/2019
DHR,01/29/2019
DHR,10/18/2018
DHR,07/19/2018
DHR,04/19/2018
DHR,01/30/2018
DHR,10/19/2017
DHR,07/20/2017
DHR,04/20/2017
DHR,01/31/2017
DHR,10/20/2016
DHR,07/25/2016
DHR,04/21/2016
DHR,01/26/2016
DHR,07/23/2015
DHR,04/23/2015
DHR,01/27/2015
DHR,10/16/2014
COST,12/11/2020
COST,09/24/2020
COST,05/28/2020 13:15 PDT
COST,03/05/2020
COST,12/12/2019 13:15 PST
COST,10/03/2019
COST,05/30/2019
COST,03/07/2019
COST,12/13/2018
COST,10/04/2018
COST,05/31/2018
COST,03/07/2018
COST,12/14/2017
COST,10/05/2017
COST,05/25/2017
COST,03/02/2017
COST,12/07/2016
COST,09/29/2016
COST,05/25/2016
COST,03/02/2016
COST,12/08/2015
COST,09/30/2015
COST,05/27/2015
COST,03/05/2015
COST,12/10/2014
TMO,01/29/2021
TMO,10/21/2020
TMO,07/22/2020
TMO,04/22/2020
TMO,01/30/2020
TMO,10/23/2019
TMO,07/24/2019
TMO,04/24/2019
TMO,01/30/2019
TMO,10/24/2018
TMO,07/25/2018
TMO,04/25/2018
TMO,01/31/2018
TMO,10/25/2017
TMO,07/26/2017
TMO,04/26/2017
TMO,01/31/2017
TMO,10/27/2016
TMO,07/28/2016
TMO,04/28/2016
TMO,01/28/2016
TMO,10/21/2015
TMO,07/22/2015
TMO,04/22/2015
TMO,01/29/2015
MRK,02/05/2021
MRK,10/27/2020
MRK,07/31/2020
MRK,04/28/2020
MRK,02/05/2020
MRK,10/29/2019
MRK,07/30/2019
MRK,04/30/2019
MRK,02/01/2019
MRK,10/25/2018
MRK,07/27/2018
MRK,05/01/2018
MRK,02/02/2018
MRK,10/27/2017
MRK,07/28/2017
MRK,05/02/2017
MRK,02/02/2017
MRK,10/25/2016
MRK,07/29/2016
MRK,05/05/2016
MRK,02/03/2016
MRK,10/27/2015
MRK,07/28/2015
MRK,04/28/2015
MRK,02/04/2015
PFE,01/28/2021
PFE,10/27/2020
PFE,07/28/2020
PFE,04/28/2020
PFE,01/28/2020
PFE,10/29/2019
PFE,07/30/2019
PFE,04/30/2019
PFE,01/29/2019
PFE,10/30/2018
PFE,07/31/2018
PFE,05/01/2018
PFE,01/30/2018
PFE,10/31/2017
PFE,08/01/2017
PFE,05/02/2017
PFE,01/31/2017
PFE,11/01/2016
PFE,08/02/2016
PFE,05/03/2016
PFE,02/02/2016
PFE,10/27/2015
PFE,04/28/2015
PFE,01/27/2015
PFE,10/28/2014
HD,11/17/2020
HD,08/18/2020
HD,05/19/2020
HD,02/25/2020
HD,11/19/2019
HD,08/20/2019
HD,05/21/2019
HD,02/26/2019
HD,11/13/2018
HD,08/14/2018
HD,05/15/2018
HD,02/20/2018
HD,11/14/2017
HD,08/15/2017
HD,05/16/2017 09:00 EDT
HD,02/21/2017
HD,11/15/2016
HD,08/16/2016
HD,05/16/2016
HD,02/23/2016
HD,11/17/2015
HD,08/18/2015
HD,05/19/2015
HD,02/24/2015
HD,11/18/2014
KO,01/29/2021
KO,10/22/2020
KO,07/21/2020
KO,04/21/2020
KO,01/30/2020
KO,10/18/2019
KO,07/23/2019
KO,04/23/2019
KO,02/14/2019
KO,10/30/2018
KO,07/25/2018
KO,04/24/2018
KO,02/13/2018
KO,10/25/2017
KO,07/26/2017
KO,04/25/2017
KO,02/09/2017
KO,10/26/2016
KO,07/27/2016
KO,04/20/2016
KO,02/09/2016
KO,10/21/2015
KO,07/22/2015
KO,04/22/2015
KO,02/10/2015
PEP,02/12/2021
PEP,10/01/2020
PEP,07/13/2020 06:00 EDT
PEP,04/28/2020
PEP,02/13/2020 06:00 EST
PEP,10/03/2019
PEP,07/09/2019
PEP,04/17/2019
PEP,02/15/2019
PEP,10/02/2018
PEP,07/10/2018
PEP,04/26/2018
PEP,02/13/2018
PEP,10/04/2017
PEP,07/11/2017
PEP,04/26/2017
PEP,02/15/2017
PEP,09/29/2016
PEP,07/07/2016
PEP,04/18/2016
PEP,02/11/2016
PEP,10/06/2015
PEP,07/09/2015
PEP,04/23/2015
PEP,02/11/2015
CSCO,02/12/2021
CSCO,11/12/2020
CSCO,08/12/2020
CSCO,05/13/2020
CSCO,02/12/2020
CSCO,11/13/2019
CSCO,08/14/2019
CSCO,05/15/2019
CSCO,02/13/2019
CSCO,11/14/2018
CSCO,08/15/2018
CSCO,05/16/2018
CSCO,02/14/2018
CSCO,11/15/2017
CSCO,08/16/2017
CSCO,05/17/2017
CSCO,02/15/2017 13:30 PDT
CSCO,11/16/2016
CSCO,08/17/2016
CSCO,05/18/2016
CSCO,02/10/2016
CSCO,11/12/2015
CSCO,08/12/2015
CSCO,05/13/2015
CSCO,02/11/2015
XOM,01/29/2021
XOM,10/30/2020 06:30 CDT
XOM,07/31/2020
XOM,05/01/2020
XOM,01/31/2020 06:30 CST
XOM,11/01/2019
XOM,08/02/2019
XOM,04/26/2019
XOM,02/01/2019
XOM,11/02/2018
XOM,07/27/2018
XOM,04/27/2018
XOM,02/02/2018
XOM,10/27/2017
XOM,07/28/2017
XOM,04/28/2017
XOM,01/31/2017
XOM,10/28/2016
XOM,07/29/2016
XOM,04/29/2016
XOM,02/02/2016
XOM,10/30/2015
XOM,07/31/2015
XOM,04/30/2015
XOM,02/02/2015
CVX,01/29/2021
CVX,10/30/2020
CVX,07/31/2020
CVX,05/01/2020
CVX,01/31/2020
CVX,11/01/2019
CVX,08/02/2019
CVX,04/26/2019
CVX,02/01/2019
CVX,11/02/2018
CVX,07/27/2018
CVX,04/27/2018
CVX,02/02/2018
CVX,10/27/2017
CVX,07/28/2017
CVX,04/28/2017
CVX,01/27/2017
CVX,10/28/2016
CVX,07/29/2016
CVX,04/29/2016
CVX,01/29/2016
CVX,10/30/2015
CVX,07/31/2015
CVX,05/01/2015
CVX,01/30/2015
CMG,02/04/2021
CMG,10/21/2020
CMG,07/22/2020 16:10 EDT
CMG,04/21/2020 16:10 EDT
CMG,02/04/2020
CMG,10/22/2019
CMG,07/23/2019
CMG,04/24/2019
CMG,02/06/2019
CMG,10/25/2018
CMG,07/26/2018
CMG,04/25/2018
CMG,02/06/2018
CMG,10/24/2017
CMG,07/25/2017
CMG,04/25/2017
CMG,02/02/2017
CMG,10/25/2016
CMG,07/21/2016
CMG,04/26/2016
CMG,02/02/2016
CMG,10/20/2015
CMG,07/21/2015
CMG,04/21/2015
CMG,02/03/2015
DPZ,02/19/2021
DPZ,10/08/2020
DPZ,07/16/2020
DPZ,04/23/2020
DPZ,02/20/2020
DPZ,10/08/2019
DPZ,07/16/2019
DPZ,04/24/2019
DPZ,02/21/2019
DPZ,10/16/2018
DPZ,07/19/2018
DPZ,04/26/2018
DPZ,02/20/2018
DPZ,10/12/2017
DPZ,07/25/2017
DPZ,04/27/2017
DPZ,02/28/2017
DPZ,10/18/2016
DPZ,07/21/2016
DPZ,04/28/2016
DPZ,02/25/2016
DPZ,10/08/2015
DPZ,07/16/2015
DPZ,04/23/2015
DPZ,02/24/2015
